Account,Total PnL,Total Volume,Average Execution Price
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,61697263.97,2065.999871660555
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,12035487.66,265.6223515906593
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2512.698856,1913071.19,3886.2195057407253
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,1409902.0,258.7888913455951
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,1143896.46,23370.812149608435
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,1987527.6099999999,29465.966261018275
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,2966109.22,4.961415012239288
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,4408828.9,3302.7577696702338
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,129672529.28,67749.15876960423
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,420876556.36,65791.89554282445
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,728057.51,12056.999631256409
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,3051144.33,116.27266567412588
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,25729497.24,164.4478967313252
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,10143758.13,3742.6125739578356
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,11999173.37,9172.69950010989
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,12304786.84,6018.935714732754
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,19868207.98,22087.60273874752
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,1677425.72,39.68702053641208
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,4448323.26,81452.29850561799
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,56543565.23,5610.012700546651
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,68036340.24,20.282343766812946
